"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A","MANUAL_DB","SUBPANEL","COLOCATED_CD_RMRS","CONDCHNGCD_RMRS","FUTFORCD_RMRS","MANUAL_NCRS","MANUAL_NERS","MANUAL_RMRS","PAC_ISLAND_PNWRS","PLOT_SEASON_NERS","PRECIPITATION","PREV_MICROPLOT_LOC_RMRS","PREV_PLOT_STATUS_CD_RMRS","REUSECD1","REUSECD2","REUSECD3"
"10191304010661","10187291010661","1320614010538","",1983,50,2,5,91,1,,1983,8,0,,0,101,,,44.55561,-72.38844,,,,,,"M211Ca",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10191353010661","10187291010661","1320614010538","",1983,50,2,5,92,1,,1983,8,0,,0,101,,,44.22228,-72.33288,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10191407010661","10187291010661","1320614010538","",1983,50,2,5,93,1,,1983,8,0,,0,101,,,44.52783,-72.30511,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10191454010661","10187291010661","1320614010538","",1983,50,2,5,94,1,,1983,8,0,,0,101,,,44.52783,-72.30511,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10191503010661","10187291010661","1320614010538","",1983,50,2,5,95,1,,1983,8,0,,0,101,,,44.50005,-72.24955,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10191547010661","10187291010661","1320614010538","",1983,50,2,5,96,1,,1983,8,0,,0,101,,,44.47228,-72.24955,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10191625010661","10187291010661","1320614010538","",1983,50,2,5,97,1,,1983,8,0,,0,101,,,44.25006,-72.27732,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10191656010661","10187291010661","1320614010538","",1983,50,2,5,98,2,,1983,8,0,,0,101,,,44.22228,-72.24954,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10191658010661","10187291010661","1320614010538","",1983,50,2,5,99,1,,1983,9,0,,0,101,,,44.22228,-72.3051,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10191698010661","10187291010661","1320614010538","",1983,50,2,5,100,1,,1983,8,0,,0,101,,,44.19451,-72.27732,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10191704010661","10187291010661","1320614010538","",1983,50,2,5,101,1,,1983,8,0,,0,101,,,44.19451,-72.27732,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10191769010661","10187291010661","1320614010538","",1983,50,2,5,102,1,,1983,8,0,,0,101,,,44.47228,-72.22177,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10191798010661","10187291010661","1320614010538","",1983,50,2,5,103,1,,1983,9,0,,0,101,,,44.38895,-72.19399,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10191809010661","10187291010661","1320614010538","",1983,50,2,5,104,1,,1983,9,0,,0,101,,,44.36117,-72.22177,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10191843010661","10187291010661","1320614010538","",1983,50,2,5,105,1,,1983,8,0,,0,101,,,44.27784,-72.19398,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10191908010661","10187291010661","1320614010538","",1983,50,2,5,106,1,,1983,9,0,,0,101,,,44.19451,-72.19398,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10191969010661","10187291010661","1320614010538","",1983,50,2,5,107,1,,1983,8,0,,0,101,,,44.22228,-72.19398,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10192014010661","10187291010661","1320614010538","",1983,50,2,5,108,1,,1983,8,0,,0,101,,,44.63894,-72.16621,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10192051010661","10187291010661","1320614010538","",1983,50,2,5,109,2,,1983,8,0,,0,101,,,44.63894,-72.16621,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10192053010661","10187291010661","1320614010538","",1983,50,2,5,110,1,,1983,8,0,,0,101,,,44.61116,-72.13843,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10192075010661","10187291010661","1320614010538","",1983,50,2,5,111,1,,1983,8,0,,0,101,,,44.61116,-72.13843,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10192122010661","10187291010661","1320614010538","",1983,50,2,5,112,1,,1983,8,0,,0,101,,,44.55561,-72.13843,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10192142010661","10187291010661","1320614010538","",1983,50,2,5,113,1,,1983,8,0,,0,101,,,44.50006,-72.13843,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10192187010661","10187291010661","1320614010538","",1983,50,2,5,114,2,,1983,7,0,,0,101,,,44.4445,-72.11065,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10192189010661","10187291010661","1320614010538","",1983,50,2,5,115,2,,1983,9,0,,0,101,,,44.38895,-72.13843,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10192191010661","10187291010661","1320614010538","",1983,50,2,5,116,2,,1983,9,0,,0,101,,,44.36117,-72.13843,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10192193010661","10187291010661","1320614010538","",1983,50,2,5,117,1,,1983,9,0,,0,101,,,44.47228,-72.08287,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10192240010661","10187291010661","1320614010538","",1983,50,2,5,118,1,,1983,8,0,,0,101,,,44.33339,-72.13843,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10192282010661","10187291010661","1320614010538","",1983,50,2,5,119,2,,1983,8,0,,0,101,,,44.27784,-72.13843,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10192284010661","10187291010661","1320614010538","",1983,50,2,5,120,2,,1983,8,0,,0,101,,,44.19451,-72.13843,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10192286010661","10187291010661","1320614010538","",1983,50,2,5,121,2,,1983,8,0,,0,101,,,44.19451,-72.11065,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10192288010661","10187291010661","1320614010538","",1983,50,2,5,122,1,,1983,8,0,,0,101,,,44.19451,-72.13843,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10192314010661","10187291010661","1320614010538","",1983,50,2,5,123,1,,1983,8,0,,0,101,,,44.19451,-72.11065,,,,,,"M211Ba",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
"10192373010661","10187291010661","1320614010538","",1983,50,2,5,124,1,,1983,9,0,,0,101,,,44.72227,-72.08288,,,,,,"M211Ae",5000,0,,,"",2003-09-26,"10661","",2019-07-12,"126144","",,,1,4,,"",4,0,"","",,,,,,,,,,,,,,,,,"",,,"",,,,
